bookingID,roomID,checkInTime,checkOutTime,deposit,user,totalPrice,status
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
282,R101,2025-12-02 16:37,2025-12-02 18:37,30.00,FAC001,60.00,Pending
961,R101,2025-12-02 16:37,2025-12-02 18:37,30.00,FAC001,60.00,Pending
289,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
817,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
380,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
877,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
411,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
253,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
873,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
357,R101,2025-12-02 16:37,2025-12-02 19:37,30.00,FAC001,90.00,Pending
181,R101,2025-12-02 16:50,2025-12-02 18:50,30.00,FAC001,60.00,Pending
205,R101,2025-12-02 16:50,2025-12-02 18:50,30.00,FAC001,60.00,Pending
475,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
675,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
619,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
316,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
939,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
470,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
414,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
400,R101,2025-12-02 16:50,2025-12-02 19:50,30.00,FAC001,90.00,Pending
612,R101,2025-12-02 16:58,2025-12-02 18:58,30.00,FAC001,60.00,Pending
817,R101,2025-12-02 16:58,2025-12-02 18:58,30.00,FAC001,60.00,Pending
861,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
846,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
897,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
291,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
663,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
383,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
466,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
223,R101,2025-12-02 16:58,2025-12-02 19:58,30.00,FAC001,90.00,Pending
364,R101,2025-12-02 17:06,2025-12-02 19:06,30.00,FAC001,60.00,Pending
315,R101,2025-12-02 17:06,2025-12-02 19:06,30.00,FAC001,60.00,Pending
599,R101,2025-12-02 17:06,2025-12-02 20:06,30.00,FAC001,90.00,Pending
599,R101,2025-12-02 17:06,2025-12-02 20:06,30.00,FAC001,90.00,Pending
867,R101,2025-12-02 17:06,2025-12-02 20:06,30.00,FAC001,90.00,Pending
